FECHA,PLU,DETALLE,VENTA
24/04/2025,7790670051831,clasico hamburguesas 288g,4900.0
08/05/2025,7790670052364,fun salchicha x6,1800.0
24/04/2025,7790670052371,express medallones 276gr,3900.0
08/05/2025,7790670052388,clasica salchichas 6u,2150.0
08/05/2025,7790670052395,clasica salchicha x12,4000.0
08/05/2025,7790670052401,salchicha X6 230g,2400.0
08/05/2025,7790670052418,salchichas X12 460g,4700.0
08/05/2025,7790670052883,salchichas X12 380g,2700.0
08/05/2025,7790670052975,salchicha picante x6U 230g,2800.0
02/07/2024,7790696000110,morrones enteros 180g,2700.0
10/08/2024,7790696055264,cerezas al marraschino 200g,4500.0
19/03/2025,7790697000522,sin sal 225g,1300.0
14/03/2025,7790697001055,sin sal cristal 450g,2500.0
05/04/2025,7790703000775,lacrado blanco 750ml,4500.0
05/04/2025,7790703100321,lacrado tinto 750ml,4300.0
06/05/2025,7790703165207,sweet wine 750ml,4500.0
07/05/2025,7790703205064,lacrado malbec 750ml,5100.0
07/05/2025,7790703205095,lacrado cabernet sauvignon 750,5100.0
02/01/2025,7790710000195,yerba regulase 500g,2000.0
02/01/2025,7790710334535,yerba hierbas serranas 500g,2000.0
02/01/2025,7790710334573,yerba hierbas serranas,3900.0
02/01/2025,7790710334580,yerba mate naranja 500g,2000.0
02/01/2025,7790710334597,yerba mate limon,2000.0
02/01/2025,7790710334603,yerba mata guarana 500g,2000.0
02/01/2025,7790710334627,yerba regulase 500g,2000.0
02/01/2025,7790710334634,yerba mate silueta,2000.0
02/01/2025,7790710334641,yerba silueta naranja 500g,2000.0
02/01/2025,7790710334665,yerba endulife cormillot 500g,2000.0
02/01/2025,7790710334702,yerba mate frutos bosques 500g,2000.0
24/04/2025,7790740000233,shampoo brillo luminosidad,3700.0
24/04/2025,7790740000240,shampoo frescura,3700.0
24/04/2025,7790740000257,shampoo suavidad,3700.0
24/04/2025,7790740000264,shampoo nutricion,3700.0
24/04/2025,7790740000271,shampoo balance,3700.0
24/04/2025,7790740000288,shampoo proteccion,3700.0
24/04/2025,7790740000295,shampoo docilidad,3700.0
24/04/2025,7790740000301,shampoo reparacion,3700.0
25/04/2025,7790740000318,acondicionador brillo,3700.0
24/04/2025,7790740000325,acond.frescura vitalidad,3700.0
24/04/2025,7790740000332,acondicionador suavidad,3700.0
24/04/2025,7790740000349,acondicionador nutricion,3700.0
24/04/2025,7790740000356,acond.balance,3700.0
24/04/2025,7790740000363,acondicionador proteccion,3700.0
24/04/2025,7790740000387,acond.reparacion saludable,3700.0
25/04/2025,7790740000394,shampoo vitalidad renovadora,3700.0
24/04/2025,7790740000400,shampoo reactivacion,3700.0
24/04/2025,7790740000417,acondicionador vitalidad,3700.0
24/04/2025,7790740000424,acond.reactivacion hidratante,3700.0
24/04/2025,7790740000431,sh.control frizz 970ml,3900.0
24/04/2025,7790740000448,shampoo restauracion 970ml,3900.0
25/04/2025,7790740000455,sham.largo saludable 970ml,3900.0
24/04/2025,7790740000462,sham.fuerza reparadora 970ml,3900.0
24/04/2025,7790740000479,ac.control frizz 970ml,3900.0
24/04/2025,7790740000486,ac.restauracion 970ml,3900.0
24/04/2025,7790740000493,acond.largo saludable 970ml,3900.0
24/04/2025,7790740000509,ac.fuerz repacadora 970ml,3900.0
24/04/2025,7790740001377,shampoo hidratacion,3700.0
24/04/2025,7790740508968,shampoo control friz 970ml,3900.0
24/04/2025,7790740508975,sham/restauracion 970ml,3900.0
24/04/2025,7790740508982,shampoo l/salu 970ml,3900.0
24/04/2025,7790740508999,sham/fuerza repa/970ml,3900.0
24/04/2025,7790740509019,aco/restauracion 970ml,3900.0
24/04/2025,7790740509125,shampoo antioxidante,3700.0
24/04/2025,7790740509163,shampoo docilidad,3700.0
24/04/2025,7790740509194,acondicionador frescura,3700.0
24/04/2025,7790740509224,acondicionador antioxidante,3700.0
24/04/2025,7790740509231,acondicionador detox,3700.0
24/04/2025,7790740509248,acondicionador balance,3700.0
24/04/2025,7790740509262,acondicionador docilidad,3700.0
24/04/2025,7790740509279,acondicionador reparacion,3700.0
29/06/2024,7790740608255,shampoo350ml,3700.0
10/07/2024,7790740608293,acond.350ml,3700.0
08/05/2025,7790742011701,crema para batir 200ml,2600.0
02/08/2024,7790742034922,leche sachet 1kg 2%,1600.0
15/04/2025,7790742067005,dulce de leche repostero 400g,3800.0
02/05/2025,7790742102805,garcia ricotta entero 500g,4200.0
11/09/2024,7790742104304,dulce de leche x1kg,7100.0
10/05/2025,7790742104809,dulce de leche clasico 250g,2200.0
03/05/2025,7790742141101,crema para batir 330ml,3800.0
11/09/2024,7790742141309,crema batir tetra 200ml,2200.0
03/05/2025,7790742141606,crema para cocinar 200ml,2700.0
03/05/2025,7790742141705,crema para cocinar 330ml,3900.0
04/02/2025,7790742141903,crema liviana cocinar 200ml,2200.0
19/10/2024,7790742142009,crema zero lactosa batir 200ml,2500.0
08/04/2025,7790742167101,fetas cheddar 150g,4900.0
16/04/2025,7790742172105,protein 46g chocolate intenso,3800.0
08/03/2025,7790742172204,protein 46g chocolate intenso,1300.0
26/07/2024,7790742214201,protein chocolate 1L,2900.0
06/08/2024,7790742222909,queso rallado 35g,1500.0
03/05/2025,7790742308801,leche larga vida 3% 1L brik,2500.0
01/04/2025,7790742321701,finlandia clasico 180g,2300.0
01/04/2025,7790742321800,finlandia light 180g,2300.0
01/04/2025,7790742326706,finlandia jamon parmesano 180g,2300.0
01/04/2025,7790742327703,finlandia cheddar 180g,2300.0
31/07/2024,7790742330109,crema para cocinar 200ml,2000.0
31/07/2024,7790742330307,dulce de leche 400g,2400.0
01/08/2024,7790742330703,leche 2% sachet 1L,1400.0
31/07/2024,7790742331304,leche en polvo 800g,9280.0
01/03/2025,7790742331601,leche modificada en polvo 400g,5200.0
03/05/2025,7790742333605,leche zero lactosa 1L PET,2700.0
03/05/2025,7790742335500,leche UAT entera 3% PET 1L,2600.0
03/05/2025,7790742335609,leche UAT parc.desc.1% PET 1L,2600.0
03/05/2025,7790742335906,leche botella extra calcio 1l,2700.0
31/07/2024,7790742336200,leche larga vida 2% 1L,1800.0
26/09/2024,7790742336408,leche serekids 1l,1900.0
02/11/2024,7790742336507,leche serekids 200ml,1000.0
08/03/2025,7790742340108,vegetal almendra 1L,3000.0
08/03/2025,7790742340306,vegetal almendra sin azucar 1L,3000.0
07/06/2024,7790742340900,vegetal coco sin endulzar 1L,3100.0
04/06/2024,7790742345707,manteca light 200g,3250.0
12/04/2025,7790742348005,leche descremada1% 1L sachet,1700.0
03/10/2024,7790742348203,leche des 2% 1l,1600.0
12/04/2025,7790742348302,leche entera 3% 1L sachet,1700.0
14/09/2024,7790742352002,leche lactosa1l,1700.0
04/10/2024,7790742357106,larga vida liviana 1X100 1L,2300.0
03/05/2025,7790742358608,leche descremada proteina 1L,2700.0
03/05/2025,7790742363008,leche larga vida entera3%1 l,2500.0
17/04/2025,7790742363107,leche larga vida1% 1l,2500.0
23/04/2025,7790742373205,finlandia clasico 290g,3500.0
